#
#
#
#
#
#
#
#
#
#
#
#
#
33.66923$95.86838$337.67026$610.1648@0.2749597
42.926464$89.37742$353.17468$625.2263@0.49141395
#
#
#
55.498817$24.387413$400.13986$550.14026@0.35900366
#
#
180.1038$39.214848$566.3608$667.9372@0.5367353
229.34918$70.2423$551.83746$637.02234@0.29833674
250.91931$44.120697$546.45703$534.58527@0.26802585
#
290.0734$44.47903$601.52515$555.6389@0.44303903
3.1155710e+02$-6.8153971e-01$6.1886584e+02$7.2685992e+02@0.5744866
3.2400497e+02$6.1827439e-01$6.1921692e+02$7.3834912e+02@0.75268257
345.6663$15.227462$624.6962$720.5686@0.58631545
#
#
#
#
#
#
#
#
#
#
334.57315$93.57244$666.35144$661.1457@0.31487298
341.88867$35.54472$660.82275$526.03534@0.34763667
338.14484$19.906422$658.3256$532.39984@0.4562502
340.18298$26.472908$655.2822$536.089@0.39917186
344.37064$33.76524$652.0499$531.8457@0.3303327
#
#
#
#
334.5171$12.484747$651.74304$562.4355@0.27594516
331.62143$65.19227$664.1228$674.4187@0.27009207
334.83316$24.815973$650.60315$548.30414@0.28600323
#
#
#
#
#
#
340.95367$18.900383$653.6917$722.18524@0.57689846
345.04095$-8.236442$659.0423$733.2953@0.7748033
343.3399$-27.780487$663.0438$752.68884@0.6407241
341.439$7.8573847$671.74976$735.9721@0.5414587
346.16553$-55.45034$664.4313$775.8789@0.7521793
344.32202$-5.909758$670.25934$753.20593@0.8417314
354.14978$7.0019474$665.23804$759.125@0.80830485
382.885$-12.852508$663.15454$782.19904@0.7361512
377.2068$-9.870617$666.91876$785.1762@0.86692274
383.9801$10.809244$663.77423$778.6928@0.9087545
381.23376$18.923676$670.6555$779.55225@0.95472836
376.00232$26.216436$682.1897$775.2673@0.9385383
385.76044$45.408535$679.6318$825.9772@0.9303953
370.4219$45.5144$695.2612$853.4834@0.98410094
371.22305$65.69903$701.46344$880.7868@0.9415017
381.48898$108.45297$696.05554$956.9266@0.98144406
377.67706$120.08811$697.5665$987.5781@0.97000235
401.34003$208.24846$688.48566$1001.60095@0.7323433
396.07944$231.732$694.44073$1027.7421@0.8369771
373.38177$239.61449$702.50073$1023.9231@0.6830738
347.84848$268.3546$710.00116$1006.07336@0.36411852
341.08237$289.92194$726.0107$983.1579@0.492184
#
273.79486$367.96875$707.1753$1038.5945@0.25049955
259.8828$417.23486$696.9275$986.6409@0.51445657
241.04515$429.71625$675.1716$997.0872@0.72316426
180.89539$443.47043$651.92194$1029.2318@0.3147499
148.07373$524.61456$629.6261$1056.8745@0.49986035
72.49142$541.6951$582.4477$1085.8704@0.7482152
10.553903$565.7788$560.1246$1091.6548@0.91202915
38.87837$642.3014$553.1327$1092.1174@0.3849
1.9170204$649.087$429.96075$1090.4926@0.5109784
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
4.0053293e-01$4.7388004e+01$2.4314194e+02$6.7251190e+02@0.3140819
#
#
#
#
#
#
31.76472$11.942637$397.11655$593.9242@0.2852477
87.61038$10.909955$476.82526$594.51245@0.48043233
24.969412$-4.7017813$436.83597$604.2374@0.35718685
#
78.47172$38.154205$388.79428$556.9183@0.3220582
78.87034$15.265483$399.17114$579.3712@0.4592504
168.55827$27.805157$425.65402$563.1249@0.40118158
172.55792$19.785727$454.80096$592.7502@0.44685996
167.84076$28.746944$472.74347$571.28394@0.30816194
#
#
251.56818$18.745382$521.5043$691.1025@0.42155957
274.50635$20.993067$526.2445$689.54645@0.6672382
257.30966$19.470469$535.97015$582.19617@0.6322697
248.97153$10.145945$545.0986$575.12024@0.72953045
